"name"                                                                                      ,"source"    ,"page" ,"rarity"          ,"reqAttune"                                                       ,"reqAttuneTags" ,"wondrous" ,"bonusSpellAttack" ,"bonusSpellSaveDc" ,"focus" ,"entries"
"Cloak of Elvenkind"                                                                        ,"DMG"       ,"158"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cloak of Invisibility"                                                                     ,"DMG"       ,"158"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cloak of Many Fashions"                                                                    ,"XGE"       ,"136"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cloak of Protection"                                                                       ,"DMG"       ,"159"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cloak of the Bat"                                                                          ,"DMG"       ,"159"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cloak of the Manta Ray"                                                                    ,"DMG"       ,"159"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Clockwork Amulet"                                                                          ,"XGE"       ,"137"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Clockwork Dog"                                                                             ,"SKT"       ,"44"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Cloth-of-gold vestments"                                                                   ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Cloth-of-gold vestments (Legion of Dusk)"                                                  ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Clothes of Mending"                                                                        ,"XGE"       ,"137"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Clothing, cold weather"                                                                    ,"IDRotF"    ,"20"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Cloves"                                                                                    ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Coat of Lies"                                                                              ,"GHLoE"     ,"111"  ,"rare"            ,"by a spellcaster"                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Coat of the Crest"                                                                         ,"TDCSR"     ,"194"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cobbler's Tools"                                                                           ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Coiling Grasp Tattoo"                                                                      ,"TCE"       ,"123"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Coin of Decisionry"                                                                        ,"AI"        ,"22"   ,"varies"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Coin of Delving"                                                                           ,"EGW"       ,"266"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cold Absorbing Tattoo"                                                                     ,"TCE"       ,"119"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Common Clothes"                                                                            ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Common Glamerweave"                                                                        ,"ERLW"      ,"277"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Common Wine (Pitcher)"                                                                     ,"PHB"       ,"158"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Component Pouch"                                                                           ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Concertina"                                                                                ,"RMBRE"     ,"26"   ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Conch of Safe Rest"                                                                        ,"TTP"       ,"17"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Conch of Teleportation"                                                                    ,"SKT"       ,"234"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Condemner (Awakened)"                                                                      ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Condemner (Dormant)"                                                                       ,"TDCSR"     ,"204"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Condemner (Exalted)"                                                                       ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Condensed Order"                                                                           ,"CoA"       ,"267"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Constantori's Portrait"                                                                    ,"KftGV"     ,"101"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cook's Utensils"                                                                           ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Copper"                                                                                    ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Copper (cp)"                                                                               ,"PHB"       ,"143"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Copper Alms-Coin"                                                                          ,"GGR"       ,"9"    ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Copper chalice with silver filigree"                                                       ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Copper Dragon Scale Mail"                                                                  ,"DMG"       ,"165"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Copper stein with silver filigree (Brazen Coalition)"                                      ,"PSX"       ,"24"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Copper Zib"                                                                                ,"GGR"       ,"9"    ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Coral"                                                                                     ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Corecut Dagger"                                                                            ,"TDCSR"     ,"195"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Costume Clothes"                                                                           ,"PHB"       ,"150"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Cotton Cloth (1 sq. yd.)"                                                                  ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Cow"                                                                                       ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Cracked Driftglobe"                                                                        ,"CM"        ,"110"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crampons"                                                                                  ,"IDRotF"    ,"20"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Crook of Rao"                                                                              ,"TCE"       ,"123"  ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crossbow Bolt Case"                                                                        ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Crowbar"                                                                                   ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Crown of the Forest"                                                                       ,"IMR"       ,"7"    ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crown of the Wrath Bringer"                                                                ,"BGG"       ,"111"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crown of Westemär"                                                                         ,"DoDk"      ,"233"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crown of Whirling Comets"                                                                  ,"BMT"       ,"35"   ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crystal Ball"                                                                              ,"DMG"       ,"159"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crystal Ball of Mind Reading"                                                              ,"DMG"       ,"159"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crystal Ball of Telepathy"                                                                 ,"DMG"       ,"159"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crystal Ball of True Seeing"                                                               ,"DMG"       ,"159"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Crystalline Chronicle"                                                                     ,"TCE"       ,"124"  ,"very rare"       ,"by a wizard"                                                     ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cube of Force"                                                                             ,"DMG"       ,"159"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cubic Gate"                                                                                ,"DMG"       ,"160"  ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cuddly Strixhaven Mascot"                                                                  ,"SCC"       ,"38"   ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Cursed Luckstone"                                                                          ,"GoS"       ,"229"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Daern's Instant Fortress"                                                                  ,"DMG"       ,"160"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dagger of Blindsight"                                                                      ,"WDMM"      ,"86"   ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Dagger of Denial"                                                                          ,"TDCSR"     ,"195"  ,"rare"            ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Dagger of Guitar Solos"                                                                    ,"WDMM"      ,"228"  ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dagger of Venom"                                                                           ,"DMG"       ,"161"  ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Damselfly Ship"                                                                            ,"AAG"       ,"28"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dancing Monkey Fruit"                                                                      ,"ToA"       ,"205"  ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Danoth's Visor (Awakened)"                                                                 ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Danoth's Visor (Dormant)"                                                                  ,"EGW"       ,"270"  ,"legendary"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Danoth's Visor (Exalted)"                                                                  ,"EGW"       ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dark Shard Amulet"                                                                         ,"XGE"       ,"137"  ,"common"          ,"by a warlock"                                                    ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dawnbringer"                                                                               ,"OotA"      ,"222"  ,"legendary"       ,"by a creature of non-evil alignment"                             ,""              ,""         ,""                 ,""                 ,""      ,""
"Deathwalker's Ward (Awakened)"                                                             ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Deathwalker's Ward (Dormant)"                                                              ,"TDCSR"     ,"204"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Deathwalker's Ward (Exalted)"                                                              ,"TDCSR"     ,""     ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Decanter of Endless Water"                                                                 ,"DMG"       ,"161"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Deck of Dimensions"                                                                        ,"BMT"       ,"40"   ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Deck of Illusions"                                                                         ,"DMG"       ,"161"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Deck of Many More Things"                                                                  ,"BMT"       ,"51"   ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Deck of Many Things"                                                                       ,"DMG"       ,"162"  ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Deck of Miscellany"                                                                        ,"BMT"       ,"41"   ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Deck of Oracles"                                                                           ,"BMT"       ,"61"   ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Deck of Several Things"                                                                    ,"LLK"       ,"53"   ,"legendary"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Deck of Wild Cards"                                                                        ,"BMT"       ,"41"   ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Deck of Wonder"                                                                            ,"BMT"       ,"55"   ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dekella, Bident of Thassa"                                                                 ,"MOT"       ,"199"  ,"artifact"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Delerium Crystal Focus"                                                                    ,"DoDk"      ,"230"  ,"rare"            ,"by a spellcaster"                                                ,""              ,"true"     ,"+2"               ,"+2"               ,""      ,""
"Delver's Claws"                                                                            ,"BGG"       ,"112"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Demon Armor"                                                                               ,"DMG"       ,"165"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Demonomicon of Iggwilv"                                                                    ,"TCE"       ,"125"  ,"artifact"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Devastation Orb of Air"                                                                    ,"PotA"      ,"222"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Devastation Orb of Earth"                                                                  ,"PotA"      ,"222"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Devastation Orb of Fire"                                                                   ,"PotA"      ,"222"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Devastation Orb of Water"                                                                  ,"PotA"      ,"222"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Devlin's Staff of Striking"                                                                ,"ToA"       ,"141"  ,""                ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Devotee's Censer"                                                                          ,"TCE"       ,"126"  ,"rare"            ,"by a cleric or paladin"                                          ,""              ,""         ,""                 ,""                 ,""      ,""
"Diamond"                                                                                   ,"DMG"       ,"134"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dice Set"                                                                                  ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dimensional Loop"                                                                          ,"AI"        ,"220"  ,"very rare"       ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dimensional Shackles"                                                                      ,"DMG"       ,"165"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dimir Guild Signet"                                                                        ,"GGR"       ,"178"  ,"uncommon"        ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Dimir Keyrune"                                                                             ,"GGR"       ,"177"  ,"very rare"       ,"by a member of the Dimir guild"                                  ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Diplomat's Pack"                                                                           ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Disguise Kit"                                                                              ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dispelling Stone"                                                                          ,"EGW"       ,"266"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Docent"                                                                                    ,"ERLW"      ,"276"  ,"rare"            ,"by a warforged"                                                  ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Documancy Satchel"                                                                         ,"AI"        ,"24"   ,"varies"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dodecahedron of Doom"                                                                      ,"WDMM"      ,"284"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dogsled"                                                                                   ,"IDRotF"    ,"20"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Donjon's Sundering Sphere"                                                                 ,"BMT"       ,"35"   ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Donkey"                                                                                    ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Doublet of Dramatic Demise"                                                                ,"TDCSR"     ,"195"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dowsing Dagger"                                                                            ,"XMtS"      ,"19"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Draakhorn"                                                                                 ,"RoT"       ,"93"   ,"artifact"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Draconic Longsword"                                                                        ,"ToA"       ,"173"  ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Draft Horse"                                                                               ,"PHB"       ,"157"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragon"                                                                                    ,"WDH"       ,"169"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragon Sensing Longsword"                                                                  ,"PotA"      ,"90"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragon Thighbone Club"                                                                     ,"SKT"       ,"105"  ,"unknown (magic)" ,"optional"                                                        ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragon's Blood"                                                                            ,"ERLW"      ,"244"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragonchess Set"                                                                           ,"PHB"       ,"154"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragongleam"                                                                               ,"HotDQ"     ,"69"   ,"unknown (magic)" ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragonguard"                                                                               ,"LMoP"      ,"48"   ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragonguard"                                                                               ,"PaBTSO"    ,"72"   ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragonstaff of Ahghairon"                                                                  ,"WDH"       ,"191"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Dragontooth Dagger"                                                                        ,"RoT"       ,"94"   ,"rare"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dread Helm"                                                                                ,"XGE"       ,"137"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dreamlily"                                                                                 ,"ERLW"      ,"244"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Driftglobe"                                                                                ,"DMG"       ,"166"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Drow Poison"                                                                               ,"DMG"       ,"258"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Drown"                                                                                     ,"PotA"      ,"224"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Dungeoneer's Pack"                                                                         ,"PHB"       ,"151"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Duplicitous Manuscript"                                                                    ,"TCE"       ,"126"  ,"rare"            ,"by a wizard"                                                     ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Duskcrusher"                                                                               ,"EGW"       ,"266"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Dust of Corrosion"                                                                         ,"WBtW"      ,"209"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dust of Deliciousness"                                                                     ,"EGW"       ,"267"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dust of Disappearance"                                                                     ,"DMG"       ,"166"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dust of Dryness"                                                                           ,"DMG"       ,"166"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dust of Sneezing and Choking"                                                              ,"DMG"       ,"166"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Dust of the Mummy"                                                                         ,"IMR"       ,"93"   ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dwarven Plate"                                                                             ,"DMG"       ,"167"  ,"very rare"       ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dwarven Thrower"                                                                           ,"DMG"       ,"167"  ,"very rare"       ,"by a dwarf"                                                      ,""              ,""         ,""                 ,""                 ,""      ,""
"Dynamite"                                                                                  ,"TDCSR"     ,"100"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dynamite (stick)"                                                                          ,"DMG"       ,"268"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Dyrrn's Tentacle Whip"                                                                     ,"ERLW"      ,"276"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Eagle Whistle"                                                                             ,"TftYP"     ,"228"  ,"rare"            ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Ear Horn of Hearing"                                                                       ,"XGE"       ,"137"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Earring of Message"                                                                        ,"CRCotN"    ,"212"  ,"common"          ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Earthboard"                                                                                ,"TDCSR"     ,"198"  ,"rare"            ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Earworm"                                                                                   ,"ERLW"      ,"277"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Echo Stone"                                                                                ,"TDCSR"     ,"195"  ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Efreeti Bottle"                                                                            ,"DMG"       ,"167"  ,"very rare"       ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Efreeti Chain"                                                                             ,"DMG"       ,"167"  ,"legendary"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Elder Cartographer's Glossography"                                                         ,"AI"        ,"20"   ,"uncommon"        ,""                                                                ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Eldritch Claw Tattoo"                                                                      ,"TCE"       ,"126"  ,"uncommon"        ,"true"                                                            ,""              ,"true"     ,""                 ,""                 ,""      ,""
"Eldritch Staff"                                                                            ,"WBtW"      ,"209"  ,"very rare"       ,"true"                                                            ,""              ,""         ,""                 ,""                 ,""      ,""
"Electrum (ep)"                                                                             ,"PHB"       ,"143"  ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
"Electrum 50-Zib Coin"                                                                      ,"GGR"       ,"9"    ,"none"            ,""                                                                ,""              ,""         ,""                 ,""                 ,""      ,""
